lr-Adam,step,train_base,val_base
,80.0,,7.572666168212891
,80.0,7.438762187957764,
6.25e-07,797283,,
,81.0,,7.566672325134277
,81.0,7.435080051422119,
6.25e-07,807126,,
,82.0,,7.558501243591309
,82.0,7.4351067543029785,
6.25e-07,816969,,
,83.0,,7.558838844299316
,83.0,7.43277645111084,
6.25e-07,826812,,
,84.0,,7.557651996612549
,84.0,7.431461334228516,
6.25e-07,836655,,
,85.0,,7.555521488189697
,85.0,7.427164077758789,
6.25e-07,846498,,
,86.0,,7.553670406341553
,86.0,7.425134181976318,
6.25e-07,856341,,
,87.0,,7.551395416259766
,87.0,7.423635482788086,
6.25e-07,866184,,
,88.0,,7.554358959197998
,88.0,7.420211315155029,
6.25e-07,876027,,
,89.0,,7.5543646812438965
,89.0,7.419129371643066,
6.25e-07,885870,,
,90.0,,7.546677112579346
,90.0,7.417420864105225,
6.25e-07,895713,,
,91.0,,7.542418956756592
,91.0,7.414369106292725,
6.25e-07,905556,,
,92.0,,7.544431209564209
,92.0,7.410989284515381,
6.25e-07,915399,,
,93.0,,7.537914276123047
,93.0,7.410107612609863,
6.25e-07,925242,,
,94.0,,7.5432915687561035
,94.0,7.40763521194458,
6.25e-07,935085,,
,95.0,,7.54416036605835
,95.0,7.4059672355651855,
6.25e-07,944928,,
,96.0,,7.531044960021973
,96.0,7.404448986053467,
6.25e-07,954771,,
,97.0,,7.528266429901123
,97.0,7.400906085968018,
6.25e-07,964614,,
,98.0,,7.529512882232666
,98.0,7.398769378662109,
6.25e-07,974457,,
,99.0,,7.528280735015869
,99.0,7.398812294006348,
