lr-Adam,step,train_base,val_base
1e-05,0,,
,0.0,,20.492733001708984
,0.0,23.466957092285156,
1e-05,9843,,
,1.0,,16.083534240722656
,1.0,18.252761840820312,
1e-05,19686,,
,2.0,,13.465256690979004
,2.0,14.652284622192383,
1e-05,29529,,
,3.0,,12.388507843017578
,3.0,13.043414115905762,
1e-05,39372,,
,4.0,,11.783248901367188
,4.0,12.242307662963867,
1e-05,49215,,
,5.0,,11.29018783569336
,5.0,11.690388679504395,
1e-05,59058,,
,6.0,,10.974881172180176
,6.0,11.317094802856445,
1e-05,68901,,
,7.0,,10.73747730255127
,7.0,10.960970878601074,
1e-05,78744,,
,8.0,,10.449952125549316
,8.0,10.695293426513672,
1e-05,88587,,
,9.0,,10.17724895477295
,9.0,10.412569999694824,
1e-05,98430,,
,10.0,,10.013176918029785
,10.0,10.18265151977539,
1e-05,108273,,
,11.0,,9.837057113647461
,11.0,9.961058616638184,
1e-05,118116,,
,12.0,,9.646607398986816
,12.0,9.742365837097168,
1e-05,127959,,
,13.0,,9.378015518188477
,13.0,9.527705192565918,
1e-05,137802,,
,14.0,,9.296127319335938
,14.0,9.350452423095703,
1e-05,147645,,
,15.0,,9.192261695861816
,15.0,9.162821769714355,
1e-05,157488,,
,16.0,,8.8960542678833
,16.0,9.003203392028809,
1e-05,167331,,
,17.0,,8.722468376159668
,17.0,8.864588737487793,
1e-05,177174,,
,18.0,,8.689998626708984
,18.0,8.73692512512207,
1e-05,187017,,
,19.0,,8.59048843383789
,19.0,8.624552726745605,
5e-06,196860,,
,20.0,,8.485442161560059
,20.0,8.476253509521484,
5e-06,206703,,
,21.0,,8.435609817504883
,21.0,8.426628112792969,
5e-06,216546,,
,22.0,,8.433582305908203
,22.0,8.377933502197266,
5e-06,226389,,
,23.0,,8.36934757232666
,23.0,8.334922790527344,
5e-06,236232,,
,24.0,,8.308920860290527
,24.0,8.295470237731934,
5e-06,246075,,
,25.0,,8.348042488098145
,25.0,8.254178047180176,
5e-06,255918,,
,26.0,,8.351541519165039
,26.0,8.215048789978027,
5e-06,265761,,
,27.0,,8.203364372253418
,27.0,8.180688858032227,
5e-06,275604,,
,28.0,,8.193452835083008
,28.0,8.145865440368652,
5e-06,285447,,
,29.0,,8.165860176086426
,29.0,8.111684799194336,
5e-06,295290,,
,30.0,,8.125141143798828
,30.0,8.08007526397705,
5e-06,305133,,
,31.0,,8.124899864196777
,31.0,8.048309326171875,
5e-06,314976,,
,32.0,,8.081573486328125
,32.0,8.02027416229248,
5e-06,324819,,
,33.0,,8.059258460998535
,33.0,7.990288257598877,
5e-06,334662,,
,34.0,,8.038185119628906
,34.0,7.961994647979736,
5e-06,344505,,
,35.0,,7.976039409637451
,35.0,7.935495853424072,
5e-06,354348,,
,36.0,,7.982994079589844
,36.0,7.909235954284668,
5e-06,364191,,
,37.0,,7.956360816955566
,37.0,7.881041526794434,
5e-06,374034,,
,38.0,,7.941500186920166
,38.0,7.855342388153076,
5e-06,383877,,
,39.0,,7.8841552734375
,39.0,7.83299446105957,
2.5e-06,393720,,
,40.0,,7.8704400062561035
,40.0,7.778629302978516,
2.5e-06,403563,,
,41.0,,7.855854034423828
,41.0,7.767267227172852,
2.5e-06,413406,,
,42.0,,7.849758148193359
,42.0,7.753482818603516,
2.5e-06,423249,,
,43.0,,7.843817234039307
,43.0,7.742424011230469,
2.5e-06,433092,,
,44.0,,7.817850589752197
,44.0,7.73016357421875,
2.5e-06,442935,,
,45.0,,7.809019565582275
,45.0,7.716886520385742,
2.5e-06,452778,,
,46.0,,7.787839889526367
,46.0,7.703699588775635,
2.5e-06,462621,,
,47.0,,7.799896717071533
,47.0,7.693687915802002,
2.5e-06,472464,,
,48.0,,7.771576404571533
,48.0,7.683545112609863,
2.5e-06,482307,,
,49.0,,7.771664142608643
,49.0,7.671334266662598,
2.5e-06,492150,,
,50.0,,7.762279033660889
,50.0,7.659702777862549,
2.5e-06,501993,,
,51.0,,7.7509355545043945
,51.0,7.650317668914795,
2.5e-06,511836,,
,52.0,,7.735911846160889
,52.0,7.6375651359558105,
2.5e-06,521679,,
,53.0,,7.753007888793945
,53.0,7.625481128692627,
2.5e-06,531522,,
,54.0,,7.713548183441162
,54.0,7.61761474609375,
2.5e-06,541365,,
,55.0,,7.709641933441162
,55.0,7.608415603637695,
2.5e-06,551208,,
,56.0,,7.707324028015137
,56.0,7.59730339050293,
2.5e-06,561051,,
,57.0,,7.683627128601074
,57.0,7.584883213043213,
2.5e-06,570894,,
,58.0,,7.681005001068115
,58.0,7.576058864593506,
2.5e-06,580737,,
,59.0,,7.768301486968994
,59.0,7.562518119812012,
1.25e-06,590580,,
,60.0,,7.667911052703857
,60.0,7.542623043060303,
1.25e-06,600423,,
,61.0,,7.644532203674316
,61.0,7.536243438720703,
1.25e-06,610266,,
,62.0,,7.65976619720459
,62.0,7.532259464263916,
1.25e-06,620109,,
,63.0,,7.659936428070068
,63.0,7.5247368812561035,
1.25e-06,629952,,
,64.0,,7.638915061950684
,64.0,7.522920608520508,
1.25e-06,639795,,
,65.0,,7.629683971405029
,65.0,7.519948482513428,
1.25e-06,649638,,
,66.0,,7.636301040649414
,66.0,7.5120344161987305,
1.25e-06,659481,,
,67.0,,7.622577667236328
,67.0,7.507602214813232,
1.25e-06,669324,,
,68.0,,7.622526168823242
,68.0,7.5017499923706055,
1.25e-06,679167,,
,69.0,,7.6112895011901855
,69.0,7.498376846313477,
1.25e-06,689010,,
,70.0,,7.6027655601501465
,70.0,7.492036819458008,
1.25e-06,698853,,
,71.0,,7.605672836303711
,71.0,7.487541198730469,
1.25e-06,708696,,
,72.0,,7.604299068450928
,72.0,7.484481334686279,
1.25e-06,718539,,
,73.0,,7.5972113609313965
,73.0,7.478028297424316,
1.25e-06,728382,,
,74.0,,7.597386360168457
,74.0,7.472766399383545,
1.25e-06,738225,,
,75.0,,7.584164142608643
,75.0,7.47031831741333,
1.25e-06,748068,,
,76.0,,7.587193489074707
,76.0,7.463646411895752,
1.25e-06,757911,,
,77.0,,7.580509662628174
,77.0,7.460069179534912,
1.25e-06,767754,,
,78.0,,7.595860481262207
,78.0,7.454903602600098,
1.25e-06,777597,,
,79.0,,7.584694862365723
,79.0,7.4506683349609375,
6.25e-07,787440,,
