lr-Adam,step,train_base,val_base
,194,,7.548557281494141
,194,7.411208152770996,
1.953125e-08,1919385,,
,195,,7.548696041107178
,195,7.4105353355407715,
1.953125e-08,1929228,,
,196,,7.545206069946289
,196,7.412452220916748,
1.953125e-08,1939071,,
,197,,7.549822807312012
,197,7.410477161407471,
1.953125e-08,1948914,,
,198,,7.5481767654418945
,198,7.4130964279174805,
1.953125e-08,1958757,,
,199,,7.548493385314941
,199,7.410572528839111,
9.765625e-09,1968600,,
