model_type,mesh_path,original_vertices,original_file_size,bpv,ratio_vertex,ratio_file_full,ratio_latent_only,p2s_dist,enc_time,dec_time
autoencoder,airplane/test/airplane_0627.obj,252,28667,65.01587301587301,0.4921875,4.361990261716373,13.99755859375,0.19674135825588912,0.17781402299999627,0.2670806799999923
autoencoder,airplane/test/airplane_0628.obj,248,28369,66.06451612903226,0.484375,4.348405885959534,13.85205078125,0.18419181839033066,0.11500647999999103,0.2777379300000007
autoencoder,airplane/test/airplane_0629.obj,252,28669,65.01587301587301,0.4921875,4.370274390243902,13.99853515625,0.17446842035182722,0.1119506849999965,0.2847886260000081
autoencoder,airplane/test/airplane_0630.obj,252,28691,65.01587301587301,0.4921875,4.365642118076689,14.00927734375,0.18706277455421405,0.08028760999999918,0.30831841900000256
autoencoder,airplane/test/airplane_0631.obj,252,28673,65.01587301587301,0.4921875,4.370884146341464,14.00048828125,0.19827481568944777,0.08647200200000782,0.23754062800000497
autoencoder,airplane/test/airplane_0632.obj,252,28675,65.01587301587301,0.4921875,4.363207547169812,14.00146484375,0.18323161617765332,0.07060434499999246,0.28192153400000564
autoencoder,airplane/test/airplane_0633.obj,252,28689,65.01587301587301,0.4921875,4.365337796713329,14.00830078125,0.17796040226606946,0.07059918500000606,0.2271068460000123
autoencoder,airplane/test/airplane_0634.obj,252,28637,65.01587301587301,0.4921875,4.389484978540772,13.98291015625,0.21300275096808774,0.058183286000002,0.2155154940000017
autoencoder,airplane/test/airplane_0635.obj,252,28656,65.01587301587301,0.4921875,4.360316494217894,13.9921875,0.19013642432392364,0.16932435799999723,0.4578410010000056
autoencoder,airplane/test/airplane_0636.obj,252,28682,65.01587301587301,0.4921875,4.380268784361637,14.0048828125,0.1732822177174495,0.10233344899999963,0.5614795350000037
autoencoder,airplane/test/airplane_0637.obj,252,28666,65.01587301587301,0.4921875,4.361838101034692,13.9970703125,0.17007211018947477,0.11109089600000743,0.4634189850000041
autoencoder,airplane/test/airplane_0638.obj,252,28654,65.01587301587301,0.4921875,4.3600121728545345,13.9912109375,0.21427948727529533,0.19118785800000637,0.3843742849999927
autoencoder,airplane/test/airplane_0639.obj,252,28679,65.01587301587301,0.4921875,4.387851897184823,14.00341796875,0.18550852907378892,0.1985202070000014,0.4556730970000018
autoencoder,airplane/test/airplane_0640.obj,252,28695,65.01587301587301,0.4921875,4.366250760803409,14.01123046875,0.1655715741182367,0.12245555700000921,0.3184266629999968
autoencoder,airplane/test/airplane_0641.obj,252,28686,65.01587301587301,0.4921875,4.36488131466829,14.0068359375,0.16740028990082156,0.09664253500000086,0.21911887999999635
autoencoder,airplane/test/airplane_0642.obj,252,28699,65.01587301587301,0.4921875,4.366859403530128,14.01318359375,0.20524149948328674,0.1421294789999905,0.14810402700000225
autoencoder,airplane/test/airplane_0643.obj,252,28681,65.01587301587301,0.4921875,4.3881578947368425,14.00439453125,0.15959280780914287,0.07630346700000246,0.27001317200000585
autoencoder,airplane/test/airplane_0644.obj,252,28682,65.01587301587301,0.4921875,4.3642726719415705,14.0048828125,0.15005243127930135,0.09986723500000494,0.35506187100000375
autoencoder,airplane/test/airplane_0645.obj,252,28651,65.01587301587301,0.4921875,4.359555690809495,13.98974609375,0.20405641356016177,0.10791920500000174,0.4965403460000033
autoencoder,airplane/test/airplane_0646.obj,252,28678,65.01587301587301,0.4921875,4.379657910812462,14.0029296875,0.16145499800348884,0.2412776259999987,0.38004052099999797
autoencoder,airplane/test/airplane_0647.obj,248,28403,66.06451612903226,0.484375,4.361640049140049,13.86865234375,0.20590923961982432,0.06688419399999646,0.7685160400000086
autoencoder,airplane/test/airplane_0648.obj,252,28671,65.01587301587301,0.4921875,4.362598904443092,13.99951171875,0.16539158602641196,0.11230931699999758,0.30268507400001
autoencoder,airplane/test/airplane_0649.obj,248,28414,66.06451612903226,0.484375,4.3553034947884735,13.8740234375,0.19426292226233016,0.08138449999999864,0.18202901899999802
autoencoder,airplane/test/airplane_0650.obj,252,28662,65.01587301587301,0.4921875,4.369207317073171,13.9951171875,0.1980788864538553,0.11314937900000643,0.19391156700000067
autoencoder,airplane/test/airplane_0651.obj,252,28664,65.01587301587301,0.4921875,4.369512195121951,13.99609375,0.1808386984327359,0.09317135400000609,0.1674023700000049
autoencoder,airplane/test/airplane_0652.obj,248,28418,66.06451612903226,0.484375,4.355916615573268,13.8759765625,0.17657325085046732,0.116199378999994,0.41110069399999816
autoencoder,airplane/test/airplane_0653.obj,250,28559,65.536,0.48828125,4.369492044063647,13.94482421875,0.18730168175160178,0.1963607980000006,0.29947416499999235
autoencoder,airplane/test/airplane_0654.obj,252,28645,65.01587301587301,0.4921875,4.366615853658536,13.98681640625,0.19365218263609618,0.08677276299999903,0.5928448319999973
autoencoder,airplane/test/airplane_0655.obj,248,28342,66.06451612903226,0.484375,4.34426732066217,13.8388671875,0.19753412814677995,0.1258103239999997,0.6730608169999925
autoencoder,airplane/test/airplane_0656.obj,252,28644,65.01587301587301,0.4921875,4.3584905660377355,13.986328125,0.19724898951062053,0.1654499729999941,0.43987917299999424
autoencoder,airplane/test/airplane_0657.obj,252,28604,65.01587301587301,0.4921875,4.360365853658537,13.966796875,0.19591465208535025,0.11676485499999956,0.45750886899999443
autoencoder,airplane/test/airplane_0658.obj,252,28656,65.01587301587301,0.4921875,4.368292682926829,13.9921875,0.19471973143803573,0.1919525400000026,0.259394197000006
autoencoder,airplane/test/airplane_0659.obj,252,28657,65.01587301587301,0.4921875,4.360468654899574,13.99267578125,0.16839706299123441,0.18863385800000287,0.26420543599999746
autoencoder,airplane/test/airplane_0660.obj,252,28669,65.01587301587301,0.4921875,4.370274390243902,13.99853515625,0.16721131076875673,0.08625451800000405,0.39109888000000126
autoencoder,airplane/test/airplane_0661.obj,252,28681,65.01587301587301,0.4921875,4.36412051125989,14.00439453125,0.20690584321495764,0.08463834100000156,0.35242095399999585
autoencoder,airplane/test/airplane_0662.obj,248,28368,66.06451612903226,0.484375,4.356265356265356,13.8515625,0.19275711676359833,0.19906905899999572,0.4306416929999983
autoencoder,airplane/test/airplane_0663.obj,252,28658,65.01587301587301,0.4921875,4.360620815581254,13.9931640625,0.1837730919487714,0.1558550510000032,0.3443113670000031
autoencoder,airplane/test/airplane_0664.obj,248,28390,66.06451612903226,0.484375,4.351624770079706,13.8623046875,0.1631471398996117,0.1617824159999941,0.24707887099999937
autoencoder,airplane/test/airplane_0665.obj,248,28392,66.06451612903226,0.484375,4.35995085995086,13.86328125,0.17097276508074885,0.09814938600000289,0.2828164520000058
autoencoder,airplane/test/airplane_0666.obj,252,28645,65.01587301587301,0.4921875,4.374618204031766,13.98681640625,0.21949497521301553,0.049329267000004506,0.4779686890000079
autoencoder,airplane/test/airplane_0667.obj,248,28411,66.06451612903226,0.484375,4.354843654199877,13.87255859375,0.19406524324892804,0.1777713820000031,0.6944660049999953
autoencoder,airplane/test/airplane_0668.obj,252,28683,65.01587301587301,0.4921875,4.36442483262325,14.00537109375,0.16487111077057068,0.11209431800000402,0.32672869099999957
autoencoder,airplane/test/airplane_0669.obj,248,28410,66.06451612903226,0.484375,4.362714987714988,13.8720703125,0.17683853784439052,0.11023176899999498,0.3855085779999996
autoencoder,airplane/test/airplane_0670.obj,252,28648,65.01587301587301,0.4921875,4.367073170731707,13.98828125,0.1853040715410464,0.0663278589999976,0.432689289999999
autoencoder,airplane/test/airplane_0671.obj,252,28661,65.01587301587301,0.4921875,4.361077297626293,13.99462890625,0.19470750488009098,0.05407994899999835,0.428685870999999
autoencoder,airplane/test/airplane_0672.obj,252,28661,65.01587301587301,0.4921875,4.361077297626293,13.99462890625,0.17635929279096418,0.11230291799999748,0.1743916960000007
autoencoder,airplane/test/airplane_0673.obj,252,28668,65.01587301587301,0.4921875,4.370121951219512,13.998046875,0.19375046594837508,0.04768396699999755,0.2772402460000052
autoencoder,airplane/test/airplane_0674.obj,252,28666,65.01587301587301,0.4921875,4.369817073170732,13.9970703125,0.1699972312665032,0.09088727000001029,0.3085154910000085
autoencoder,airplane/test/airplane_0675.obj,252,28649,65.01587301587301,0.4921875,4.3672256097560975,13.98876953125,0.21035105928513287,0.09962994800000047,0.240301419000005
