lr-Adam,step,train_base,val_base
1e-05,0,,
,0.0,,20.501256942749023
,0.0,23.55455780029297,
1e-05,9843,,
,1.0,,17.58470344543457
,1.0,18.84102439880371,
1e-05,19686,,
,2.0,,13.900349617004395
,2.0,15.479791641235352,
1e-05,29529,,
,3.0,,12.494857788085938
,3.0,13.279363632202148,
1e-05,39372,,
,4.0,,11.957636833190918
,4.0,12.362640380859375,
1e-05,49215,,
,5.0,,11.882542610168457
,5.0,11.805342674255371,
1e-05,59058,,
,6.0,,11.109661102294922
,6.0,11.359875679016113,
1e-05,68901,,
,7.0,,10.841876029968262
,7.0,10.96104621887207,
1e-05,78744,,
,8.0,,10.333439826965332
,8.0,10.60693073272705,
1e-05,88587,,
,9.0,,10.218035697937012
,9.0,10.300924301147461,
